site_no,date_20XX, min_stram, max_stream, mean_stream, month_sum 
'06803486, 2000-10, 3.30, 17.00, 10.73, 332.70 
'06803486, 2000-11, 11.00, 19.00, 13.90, 417.00 
'06803486, 2000-12, 10.00, 14.00, 11.61, 360.00 
'06803486, 2001-01, 10.00, 46.00, 22.94, 711.00 
'06803486, 2001-02, 22.00, 370.00, 59.75, 1673.00 
'06803486, 2001-03, 23.00, 147.00, 45.06, 1397.00 
'06803486, 2001-04, 24.00, 37.00, 29.90, 897.00 
'06803486, 2001-05, 25.00, 441.00, 83.03, 2574.00 
'06803486, 2001-06, 45.00, 978.00, 124.60, 3738.00 
'06803486, 2001-07, 14.00, 42.00, 24.06, 746.00 
'06803486, 2001-08, 7.70, 18.00, 12.09, 374.70 
'06803486, 2001-09, 8.10, 40.00, 13.82, 414.60 
'06803486, 2001-10, 9.63, 76.30, 44.16, 1368.95 
'06803486, 2001-11, 61.00, 83.10, 66.59, 1997.60 
'06803486, 2001-12, 5.86, 93.70, 47.43, 1470.32 
'06803486, 2002-01, 7.56, 20.60, 15.64, 484.73 
'06803486, 2002-02, 5.23, 26.00, 15.51, 434.19 
'06803486, 2002-03, 9.04, 29.40, 16.98, 526.44 
'06803486, 2002-04, 13.50, 24.60, 15.80, 474.00 
'06803486, 2002-05, 12.20, 122.00, 29.26, 907.20 
'06803486, 2002-06, 8.21, 45.40, 16.02, 480.70 
'06803486, 2002-07, 5.39, 15.00, 8.05, 249.65 
'06803486, 2002-08, 5.04, 1000.00, 54.95, 1703.50 
'06803486, 2002-09, 5.79, 15.90, 7.96, 238.86 
'06803486, 2002-10, 5.79, 232.00, 17.85, 553.41 
'06803486, 2002-11, 9.18, 15.70, 12.56, 376.85 
'06803486, 2002-12, 9.15, 16.30, 12.01, 372.29 
'06803486, 2003-01, 12.70, 23.30, 16.65, 516.10 
'06803486, 2003-02, 13.80, 23.70, 18.19, 509.40 
'06803486, 2003-03, 11.40, 21.60, 15.73, 487.60 
'06803486, 2003-04, 11.60, 24.00, 14.31, 429.20 
'06803486, 2003-05, 7.58, 193.00, 32.77, 1015.99 
'06803486, 2003-06, 8.38, 181.00, 32.13, 963.91 
'06803486, 2003-07, 4.74, 11.30, 6.75, 209.20 
'06803486, 2003-08, 5.28, 10.90, 7.27, 225.29 
'06803486, 2003-09, 3.50, 29.90, 6.93, 207.92 
'06803486, 2003-10, 3.60, 11.60, 6.45, 199.94 
'06803486, 2003-11, 7.86, 52.40, 12.57, 376.98 
'06803486, 2003-12, 9.00, 14.00, 10.75, 333.30 
'06803486, 2004-01, 7.80, 10.90, 9.43, 292.27 
'06803486, 2004-02, 9.06, 31.70, 14.37, 416.67 
'06803486, 2004-03, 12.60, 89.10, 19.80, 613.90 
'06803486, 2004-04, 9.42, 14.00, 11.85, 355.45 
'06803486, 2004-05, 8.09, 66.40, 16.18, 501.52 
'06803486, 2004-06, 7.38, 354.00, 23.04, 691.16 
